MeanX;MeanY;MeanZ;stdX;stdY;stdZ
-36.26;10.26;1036.85;2.225398840657557;2.5203967941576186;4.121589499210226
-36.68;10.62;1037.14;1.8808508712813996;2.166933316925096;3.221862815204893
-36.92;10.57;1036.48;2.129225211197726;2.3675092396862993;3.6151901748040856
-36.85;10.86;1037.72;2.3637893307145625;2.2181974664127626;6.63035443999791
-426.61;6.98;672.45;446.4319185497381;29.679952830151194;443.9521680316473
-754.73;46.84;565.91;218.11766801430826;48.86915591659017;279.7137141793373
-527.56;523.31;572.62;184.78984387676724;283.40023623843365;153.0188079943116
-518.43;647.55;398.31;261.32903608286625;318.88052229636105;123.58468311243105
-899.09;2.49;292.89;100.31959878308926;35.33765555324801;257.43087984932964
-881.83;5.52;440.04;2.195700343853869;2.36;3.2246550203083744
-881.76;5.19;440.62;3.307929866245656;2.3861894308709024;5.043371887933707
-882.33;5.28;440.31;3.361710873944991;2.3025203582161873;4.019191460978191
-882.74;5.04;440.37;2.978657415682441;2.0972362766269326;3.6814535172944933
-882.5;5.47;440.92;2.2693611435820435;2.160810033297698;3.689661231061735
-881.46;5.51;440.61;7.130806406010473;3.5678985411583666;5.520679306027474
-882.32;5.39;440.87;3.6024436151035033;1.9641537618017586;4.981274937202322
-881.72;5.5;440.42;3.1562002471326185;2.5039968051097827;3.88118538593559
-881.73;5.67;440.74;2.301542960711357;1.9496409925932516;3.217514568731586
